assay_id,n_scaffold_groups,n_molecules,delta_auprc,rmse,mae,spearman
CHEMBL2219375,127,156,0.0,0.12171270586550235,0.1147579863667488,
CHEMBL2219389,127,154,0.03333333333333334,0.3493913300335407,0.2942023202776909,-0.5
CHEMBL2219399,126,154,0.019999999999999997,0.35807035071775317,0.3022870119661093,0.0
CHEMBL2219404,128,157,0.0,0.05006328653544188,0.045329753495752814,
CHEMBL2219407,126,154,0.0,0.4354047250002623,0.3584686294198036,0.5
CHEMBL2219408,128,157,0.0,0.28386902846395967,0.2453583527356386,
CHEMBL3214944,306,389,0.0,0.723550833761692,0.6800136998295784,0.4
CHEMBL3431930,98,239,,0.6954351216554642,0.6348336905241012,-0.13333333333333333
CHEMBL3431932,199,455,0.08873015873015871,0.6045474149286747,0.5542199485003948,-0.02380952380952382
CHEMBL3431933,206,472,0.051951578514078535,0.5238409489393234,0.4653568923473358,-0.10505494505494506
CHEMBL3705334,53,143,0.04444444444444445,0.6371880382299423,0.5654908806085587,0.8484768907563025
CHEMBL3705469,76,136,0.05208333333333333,0.5740454971790314,0.47377614229917525,0.3666666666666667
CHEMBL3705476,253,664,0.007350718065003774,0.8338182896375657,0.7402228146791459,0.06407190120298281
CHEMBL3706128,68,194,0.0,1.107139141857624,0.9469358384609222,
CHEMBL3706356,65,271,0.017228041728636845,0.9554265886545181,0.8955856442451477,-0.1349647161193922
CHEMBL3707557,33,140,0.11068756346534125,0.7115496098995209,0.6215310662984848,0.24265095618518068
CHEMBL3707738,69,146,0.04283951342774871,1.0400971233844758,0.9166382402181625,0.741568221053778
CHEMBL3707783,68,162,0.20833333333333334,1.1437071323394776,1.0366273060441018,0.8285714285714287
CHEMBL3887295,59,239,-0.026859682062808955,0.9796746224164963,0.890316167473793,-0.5680012258977924
CHEMBL3887333,185,471,0.13044408802345114,1.9687976837158203,1.84486722946167,0.42780925478526927
CHEMBL3887334,49,200,0.11655773420479301,1.3780496060848235,1.2722391724586486,0.6799019607843138
CHEMBL3887759,100,325,0.09383700859433024,0.6097160458564759,0.5558854505419731,0.10822187829485683
CHEMBL3888181,114,219,0.0,0.9658281177282333,0.8572841763496399,0.316227766016838
CHEMBL3888461,98,170,0.0,1.118929772078991,0.9688321128487587,
CHEMBL4005586,105,248,0.08333333333333333,0.42623824924230574,0.38699193522334097,-0.4
CHEMBL4133035,58,196,0.10385802469135802,0.2583301331847906,0.20499190092086791,-0.0666666666666667
CHEMBL641707,37,136,0.125,0.7046351090073586,0.6458304941654205,-0.09999999999999999
CHEMBL657032,38,155,0.003067453651860147,1.0865468800067901,0.9634069584310054,-0.021122994689759735
CHEMBL663407,33,140,0.11111111111111112,0.8259572148323059,0.7576267890632152,0.35281385281385286
CHEMBL819742,25,158,-0.028884516398299476,1.3646815985441207,1.3089997977018357,0.14600057051941454
CHEMBL915809,68,153,0.07541666666666666,0.4087104693055153,0.35993881076574324,-0.075
CHEMBL924949,31,142,0.05133747831116252,1.6083171308040618,1.4967820197343826,0.11387003026826574
